label,id,base_id,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,base_sources,base_names,base_categories,base_confidence,base_websites,base_socials,base_emails,base_phones,base_brand,base_addresses
1.0,08f391ab10c7114d033517ea0e3905a9,562949956772225,"[{""property"":"""",""dataset"":""meta"",""record_id"":""112012623717552"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949956772225"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374887928990"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""BP""}","{""primary"":""gas_station"",""alternate"":[""energy_company"",""bar""]}",0.9962614185921548,"[""https://map.bp.com/es-ES/ES/estacion-de-servicio/los-barrios/e-s-bp-la-montera/1023746243""]","[""https://www.facebook.com/112012623717552""]",,"[""+34956621050""]","{""names"":{""primary"":""bp""}}","[{""freeform"":""Avenida Carlos Cano"",""locality"":""Los Barrios"",""postcode"":""11370"",""country"":""ES""}]","[{""dataset"":""Microsoft"",""record_id"":""562949956772225"",""update_time"":""2020-02-06T19:40:35.69"",""confidence"":0.77}]","{""primary"":""BP""}","{""primary"":""car_wash"",""alternate"":[""ev_charging_station"",""gas_station"",""automotive""]}",0.77,"[""https://www.bp.com/es_es/on-the-road/spain.html""]",,,"[""956621050""]","{""names"":{}}","[{""freeform"":""Av. Carlos Cano, Glorieta La Montera"",""locality"":""Los Barrios"",""region"":""Cádiz"",""country"":""ES"",""postcode"":""11370""}]"
0.0,08f26ed44c0f20f103c3e3cc6e5bed37,1407374886409435,"[{""property"":"""",""dataset"":""meta"",""record_id"":""680873018646122"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""meta"",""record_id"":""398906876838532"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""meta"",""record_id"":""278191402789085"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""meta"",""record_id"":""193855287294613"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""281474978364459"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374890671135"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374888156900"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886997153"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886955612"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886409435"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886347731"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1407374886115036"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Northwest Medical Center""}","{""primary"":""hospital"",""alternate"":[""health_and_medical"",""medical_service_organizations""]}",0.997898979043525,"[""http://www.northwesthealth.com/""]","[""https://www.facebook.com/680873018646122""]",,"[""+14797515711""]","{""names"":{""primary"":""Health Systems""}}","[{""freeform"":""609 W Maple Ave"",""locality"":""Springdale"",""postcode"":""72764-5335"",""region"":""AR"",""country"":""US""}]","[{""dataset"":""Microsoft"",""record_id"":""1407374886409435"",""update_time"":""2023-10-16T12:58:08.957"",""confidence"":0.77}]","{""primary"":""Northwest Medical Center - Emergency Room""}","{""primary"":""emergency_room"",""alternate"":[""health_and_medical""]}",0.77,"[""https://www.northwesthealth.com/emergency-department?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage""]",,,"[""4797571000""]","{""names"":{}}","[{""freeform"":""609 W Maple Ave"",""locality"":""Springdale"",""region"":""AR"",""country"":""US"",""postcode"":""72764""}]"
0.0,08f2a100d649b2940358781f0b0c6078,08f2a10725b1451a03d80f18dbf3f667,"[{""property"":"""",""dataset"":""meta"",""record_id"":""259327777460966"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Manhattan Hardware & Housewares""}","{""primary"":""hardware_store"",""alternate"":[""home_improvement_store"",""shopping""]}",0.9645127118644068,"[""https://twitter.com/#!/9thAveHardware""]","[""https://www.facebook.com/259327777460966""]",,"[""+12127574555""]",,"[{""freeform"":""688 9th Ave"",""locality"":""New York"",""postcode"":""10036-3657"",""region"":""NY"",""country"":""US""}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""116155878405321"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Manhattan Jazz""}","{""primary"":""dance_club"",""alternate"":[""jazz_and_blues"",""arts_and_entertainment""]}",0.28671328671328666,,"[""https://www.facebook.com/116155878405321""]",,"[""+12125814269""]",,"[{""freeform"":""445 W 45th St"",""locality"":""New York"",""postcode"":""10036-3502"",""region"":""NY"",""country"":""US""}]"
0.0,08f266886ad2b15c0330a29679895fc5,08f266886ad2b15c034a5726e85dc631,"[{""property"":"""",""dataset"":""msft"",""record_id"":""1688849865729793"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""UofL Physicians – Plastic & Reconstructive Surgery""}","{""primary"":""plastic_surgeon"",""alternate"":[""doctor"",""health_and_medical""]}",0.77,"[""https://uoflhealth.org/locations/ulp-plastic-surgery/""]",,,"[""5025838303""]",,"[{""freeform"":""401 E Chestnut St Unit 790"",""locality"":""Louisville"",""postcode"":""40202"",""region"":""KY"",""country"":""US""}]","[{""property"":"""",""dataset"":""msft"",""record_id"":""1688849865729796"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""UofL Physicians – Neurology""}","{""primary"":""health_and_medical""}",0.77,"[""https://uoflhealth.org/locations/neurology-401-e-chestnut-st/""]",,,"[""5025884800""]",,"[{""freeform"":""401 E Chestnut St Unit 510"",""locality"":""Louisville"",""postcode"":""40202"",""region"":""KY"",""country"":""US""}]"
1.0,08f8010646c29a5503b6cc2ed88f8859,08f8010646c66a2903260dd893bdb585,"[{""property"":"""",""dataset"":""meta"",""record_id"":""170546886327152"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""meta"",""record_id"":""277643788963288"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Pousada da Taiba""}","{""primary"":""hotel"",""alternate"":[""active_life"",""tours""]}",0.7927927927927928,"[""http://pousadadataiba.com.br/""]","[""https://www.facebook.com/170546886327152""]",,,,"[{""freeform"":""Avenida Capitão Inácio Prata, Sn"",""locality"":""São Gonçalo do Amarante"",""postcode"":""62670-000"",""region"":""CE"",""country"":""BR""}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""1913210835595304"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Pousada Taiba Inn""}","{""primary"":""hotel""}",0.3941504178272981,"[""http://www.pousadataibainn.com.br""]","[""https://www.facebook.com/1913210835595304""]",,"[""+18533156140""]",,"[{""freeform"":""Rua Capitão Inácio Prata, S/N"",""postcode"":""62670-000"",""country"":""BR""}]"
1.0,08f26962083a02f40376a90056fc0453,844424932249294,"[{""property"":"""",""dataset"":""meta"",""record_id"":""160492830773391"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""844424932249294"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949959132307"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Steve & Lori Robinson Realtors""}","{""primary"":""real_estate_agent"",""alternate"":[""real_estate"",""professional_services""]}",0.9872500778573653,"[""https://www.amazon.com/dp/B0DF25FXDK""]","[""https://www.facebook.com/160492830773391""]",,"[""+18014205260""]",,"[{""freeform"":""825 E 1180 S"",""locality"":""American Fork"",""postcode"":""84003-3918"",""region"":""UT"",""country"":""US""}]","[{""dataset"":""Microsoft"",""record_id"":""844424932249294"",""update_time"":""2024-02-24T01:14:30.77"",""confidence"":0.77}]","{""primary"":""Steve & Lori Robinson Realtors - BHHS Elite Real Estate""}","{""primary"":""real_estate_agent""}",0.77,"[""https://stevelorirobinsonrealtors.com/""]",,,"[""8014205260""]","{""names"":{}}","[{""freeform"":""825 E 1180 S Ste 300"",""locality"":""American Fork"",""region"":""UT"",""country"":""US"",""postcode"":""84003""}]"
0.0,08f3f62a5b8acac4037247b244fa4071,08f3f62a5b8f66020389b87cca80d1e8,"[{""property"":"""",""dataset"":""meta"",""record_id"":""273359629981741"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Milas Barlar Sokağı""}","{""primary"":""adult_entertainment""}",0.3941504178272981,,"[""https://www.facebook.com/273359629981741""]",,,,"[{""country"":""TR""}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""107568087949330"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Milas Pazarı""}","{""primary"":""farmers_market"",""alternate"":[""shopping""]}",0.48103896103896104,"[""http://www.milaspazari.com.tr/""]","[""https://www.facebook.com/107568087949330""]",,"[""+905335465340""]",,"[{""country"":""TR""}]"
0.0,08f3929a484866e403d76040249caa29,08f3929a4a8705920318c68f311567bb,"[{""property"":"""",""dataset"":""meta"",""record_id"":""392188117492783"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Cafetería Romo""}","{""primary"":""cafe"",""alternate"":[""coffee_shop"",""bar""]}",0.9544061302681992,,"[""https://www.facebook.com/392188117492783""]",,"[""+34941261490""]",,"[{""freeform"":""Calle Milicias, 4"",""locality"":""Logroño"",""postcode"":""26003"",""country"":""ES""}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""105059638640753"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Cafetería Villarreal""}","{""primary"":""coffee_shop"",""alternate"":[""cafe"",""wine_bar""]}",0.9544061302681992,,"[""https://www.facebook.com/105059638640753""]",,"[""+34941244211""]",,"[{""freeform"":""Parque del Carmen, 6"",""locality"":""Logroño"",""postcode"":""26003"",""country"":""ES""}]"
1.0,08f609005e55b42403410ed5987584e0,1688849865871926,"[{""property"":"""",""dataset"":""meta"",""record_id"":""116247058192080"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849865871926"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Alliance Hospital Amravati""}","{""primary"":""hospital"",""alternate"":[""health_and_medical""]}",0.9918379237288135,"[""http://alliancehospitalamravati.in/""]","[""https://www.facebook.com/116247058192080""]",,"[""+917212993929""]",,"[{""freeform"":""Alliance hospital, Vijay Colony Rd, near porwal paint house"",""postcode"":""444606"",""country"":""IN""}]","[{""dataset"":""Microsoft"",""record_id"":""1688849865871926"",""update_time"":""2024-12-23T06:55:53.513"",""confidence"":0.77}]","{""primary"":""Alliance Hospital Amravati""}","{""primary"":""hospital"",""alternate"":[""health_and_medical""]}",0.77,"[""https://alliancehospitalamravati.com/""]",,,"[""09209193400""]","{""names"":{}}","[{""freeform"":""Alliance Hospital, Vijay Colony Road Near Porwal Paint House, Rukhmini Nagar"",""locality"":""Amravati"",""region"":""Maharashtra"",""country"":""IN"",""postcode"":""444606""}]"
0.0,08f29a0b55d9951003102503cc49f747,562949960154823,"[{""property"":"""",""dataset"":""meta"",""record_id"":""121528527932911"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949959744606"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849865800760"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""St. Joseph Hospital - Orange Kidney Transplant Center""}","{""primary"":""doctor"",""alternate"":[""hospital"",""health_and_medical""]}",0.9962614185921548,"[""https://www.providence.org/locations/socal/st-joseph-hospital-orange/kidney-transplant-center?Is=location&y_source=1_MTQwNjAxMjAtNDQwLWxvY2F0aW9uLndlYnNpdGU=""]","[""https://www.facebook.com/121528527932911""]",,"[""+17147718033""]",,"[{""freeform"":""1100 W Stewart Dr"",""locality"":""Orange"",""postcode"":""92868-3849"",""region"":""CA"",""country"":""US""}]","[{""dataset"":""Microsoft"",""record_id"":""562949960154823"",""update_time"":""2024-12-27T15:23:58.85"",""confidence"":0.77}]","{""primary"":""St. Joseph Hospital - Orange Cancer Research Center""}","{""primary"":""cancer_treatment_center"",""alternate"":[""health_and_medical""]}",0.77,"[""https://www.providence.org/locations/st-joseph-hospital-orange/cancer-research-program?ls=location&y_source=1_MTUzMjM1ODgtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D""]",,,"[""7147346220""]","{""names"":{}}","[{""freeform"":""1000 W La Veta Dr, 1st Floor"",""locality"":""Orange"",""region"":""CA"",""country"":""US"",""postcode"":""92868""}]"
